Index  Elem    Ion     Freq(ev)    Wavelength(A)
  439   Ne        X  2.856477E+02  4.340460E+01
  440   Si       XI  2.830691E+02  4.380000E+01
  441   Ni      XVI  2.817824E+02  4.400000E+01
  442   Mg        X  2.814625E+02  4.405000E+01
  443   Si       IX  2.805073E+02  4.420000E+01
  444   Si      XII  2.805073E+02  4.420000E+01
  445   Ni    XVIII  2.794956E+02  4.436000E+01
  446    S     VIII  2.736959E+02  4.530000E+01
  447   Ni     XVII  2.732134E+02  4.538000E+01
  448   Ni      XVI  2.724928E+02  4.550000E+01
  449   Mg      XII  2.720444E+02  4.557500E+01
  450   Si      XII  2.718953E+02  4.560000E+01
  451    S     VIII  2.695310E+02  4.600000E+01
  452   Si       XI  2.677845E+02  4.630000E+01
  453   Ni       XV  2.660606E+02  4.660000E+01
  454   Fe      XVI  2.654909E+02  4.670000E+01
  455   Ni      XVI  2.637963E+02  4.700000E+01
  456   Mg        X  2.621231E+02  4.730000E+01
  457    S       IX  2.610195E+02  4.750000E+01
  458    S        X  2.599250E+02  4.770000E+01
  459   Si        X  2.583005E+02  4.800000E+01
  460   Si       XI  2.575493E+02  4.814000E+01
  461   Al       XI  2.566430E+02  4.831000E+01
  462   Ne        X  2.550423E+02  4.861320E+01
  463   Si       XI  2.520005E+02  4.920000E+01
  464   Ni       XV  2.479685E+02  5.000000E+01
  465    S      VII  2.479685E+02  5.000000E+01
  466   Fe      XVI  2.459029E+02  5.042000E+01
  467   Si        X  2.450282E+02  5.060000E+01
  468   Ni    XVIII  2.445449E+02  5.070000E+01
  469    S      VII  2.384312E+02  5.200000E+01
  470   Si     VIII  2.384312E+02  5.200000E+01
  471   Si       XI  2.370636E+02  5.230000E+01
  472   Al       XI  2.366112E+02  5.240000E+01
  473   Si       IX  2.346409E+02  5.284000E+01
  474   Fe       XV  2.343305E+02  5.291000E+01
  475   Ni    XVIII  2.317463E+02  5.350000E+01
  476   Na       IX  2.297707E+02  5.396000E+01
  477   Ni       XV  2.296005E+02  5.400000E+01
  478   Si        X  2.296005E+02  5.400000E+01
  479    S       IX  2.291761E+02  5.410000E+01
  480   Na       XI  2.285930E+02  5.423800E+01
  481   Al       XI  2.282059E+02  5.433000E+01
  482   Fe      XVI  2.273689E+02  5.453000E+01
  483    S     VIII  2.270774E+02  5.460000E+01
  484    S      VII  2.262486E+02  5.480000E+01
  485   Ni      XVI  2.254259E+02  5.500000E+01
  486   Si       IX  2.243247E+02  5.527000E+01
  487   Si       IX  2.242030E+02  5.530000E+01
  488   Ni      XVI  2.225929E+02  5.570000E+01
  489   Ni     XVII  2.214004E+02  5.600000E+01
  490   Si       IX  2.212819E+02  5.603000E+01
  491    S       IX  2.210058E+02  5.610000E+01
  492   Fe       XV  2.206125E+02  5.620000E+01
  493    S       IX  2.202207E+02  5.630000E+01
  494   Si       IX  2.158876E+02  5.743000E+01
  495   Si       IX  2.145799E+02  5.778000E+01
  496   Mg        X  2.141351E+02  5.790000E+01
  497    O     VIII  2.115913E+02  5.859610E+01
  498   Si     VIII  2.104996E+02  5.890000E+01
  499    O     VIII  2.104420E+02  5.891610E+01
  500   Ni       XV  2.101428E+02  5.900000E+01
  501    O     VIII  2.089310E+02  5.934220E+01
  502   Fe      XIV  2.088332E+02  5.937000E+01
  503   Fe       XV  2.087277E+02  5.940000E+01
  504   Ni     XVII  2.083769E+02  5.950000E+01
  505    O     VIII  2.068894E+02  5.992780E+01
  506   Si        X  2.049326E+02  6.050000E+01
  507    O     VIII  2.040342E+02  6.076640E+01
  508    S      VII  2.039215E+02  6.080000E+01
  509   Si      VII  2.039215E+02  6.080000E+01
  510   Ne     VIII  2.038879E+02  6.081000E+01
  511    S      VII  2.038879E+02  6.081000E+01
  512   Si     VIII  2.032529E+02  6.100000E+01
  513    S      VII  2.016004E+02  6.150000E+01
  514   Si       IX  2.004920E+02  6.184000E+01
  515    O     VIII  1.998705E+02  6.203230E+01
  516   Fe     XIII  1.988520E+02  6.235000E+01
  517   Mg       IX  1.974271E+02  6.280000E+01
  518   Si       IX  1.968941E+02  6.297000E+01
  519   Mg        X  1.958677E+02  6.330000E+01
  520    S     VIII  1.958677E+02  6.330000E+01
  521   Fe      XVI  1.954354E+02  6.344000E+01
  522    O     VIII  1.933134E+02  6.413640E+01
  523   Mg     VIII  1.928215E+02  6.430000E+01
  524   Si       IX  1.900433E+02  6.524000E+01
  525   Ne        X  1.889197E+02  6.562800E+01
  526   Mg        X  1.881400E+02  6.590000E+01
  527   Fe       XV  1.880544E+02  6.593000E+01
  528   Fe      XVI  1.869203E+02  6.633000E+01
  529   Mg       IX  1.845004E+02  6.720000E+01
  530    O     VIII  1.828145E+02  6.781970E+01
  531   Ne     VIII  1.823298E+02  6.800000E+01
  532   Mg      VII  1.819552E+02  6.814000E+01
  533   Si       VI  1.791680E+02  6.920000E+01
  534   Fe      XIV  1.779848E+02  6.966000E+01
